LEGEND,M = Music,T = Tech / Smart Home / DIY,F = Food & Cooking,C = Comedy,N = News,V = TV / Video,O = Other
,Leave cat blank to keep as unsure. Fill top ones first — sorted by play count.,,,,,,

cat,channel name,plays,videos,channel url
,SubSoul,6,2,https://www.youtube.com/channel/UCO3GgqahVfFg0w9LY2CBiFQ
,CTech&Media English,6,2,https://www.youtube.com/channel/UC7GOWiijn45SNJFzHxBQBag
,Tips And Tricks 2K,6,3,https://www.youtube.com/channel/UCdwSY9fPAlwV4vsj-b_i1AA
,Applying Microcontroller Solutions,6,2,https://www.youtube.com/channel/UCbc5XQxX2YpHtCJEtLozToQ
,kian,6,2,https://www.youtube.com/channel/UCXRNO_06vrZ7MGvQvWZPQ3Q
,Innovative Home Automation (Towerclimber87),6,2,https://www.youtube.com/channel/UCgR0bi4BodveOcI6vzu9xTA
,TechHut,6,3,https://www.youtube.com/channel/UCjSEJkpGbcZhvo0lr-44X_w
,J-Rat Techworks,6,2,https://www.youtube.com/channel/UC1JJcm8n5ALkXUUGpqOWHQA
,CodingScientist,6,3,https://www.youtube.com/channel/UCZ7-Bc9fZN3gyY7N1eXOVEg
,Wh0,6,1,https://www.youtube.com/channel/UCfDqV9pRIMool6CCdkoyIyw
,Humble Empire,6,1,https://www.youtube.com/channel/UCv2aT_KJAxcO2DeURTSCrNA
,S2O Festival,6,2,https://www.youtube.com/channel/UC16ZPwUyty9OnmeH0FSj4ew
,Audiotree,6,2,https://www.youtube.com/channel/UCWjmAUHmajb1-eo5WKk_22A
,benyialex,6,1,https://www.youtube.com/channel/UC7uREh7pPWwGyaqmWXXSiRQ
,scratchscience,6,1,https://www.youtube.com/channel/UC1a-K6h4e93poOTsRL03Tsg
,NPR Music,6,4,https://www.youtube.com/channel/UC4eYXhJI4-7wSWc8UNRwD4A
,EditsWithUke,6,1,https://www.youtube.com/channel/UC6JNPTo1KiYOGXbsr1RqU8g
,CHEZAME,6,6,https://www.youtube.com/channel/UCAQiw3lW0k1haXD1-kuo6qQ
,UNIVEA,6,6,https://www.youtube.com/channel/UCzt2duvBvLiyewfF1f3wBfA
,Reynard Lowell,6,6,https://www.youtube.com/channel/UC7dR3zb454qbmuzTR2_ABhQ
,Neutral,5,2,https://www.youtube.com/channel/UCkH4qz-p-WccXAhwOpaUn_g
,Visionary,5,2,https://www.youtube.com/channel/UC_8gQrYCIf9aG_9N4_T5fzg
,Stud Pack,5,3,https://www.youtube.com/channel/UCjG94SagJZoyPggcBhUdFCA
,SlimShots,5,3,https://www.youtube.com/channel/UCByeH9bXLQiNzOyyXcWgAzA
