# category_review.txt
# Channels that could not be auto-categorized.
# Edit the last column, then save as channel_overrides.txt
# Valid categories: music | tv | tech | unsure | news | food | comedy | other
# May be abbreviated M, V, T, unsure, N, F, C, O
norm_name|raw_name|channel_url|total_plays|title_count|category
Maya Husky|Maya Husky|https://www.youtube.com/channel/UComxirWZgXemamKVQfSdDLw|16|13|M
Art Living Gallery|Art Living Gallery|https://www.youtube.com/channel/UCUHv1yrwWOgdmsQKViT5o-Q|16|7|O
Romain Axisa|Romain Axisa|https://www.youtube.com/channel/UCGPeXOubvnhdd5cl2Yu2TGA|15|6|M
Lazy Tech Geek|Lazy Tech Geek|https://www.youtube.com/channel/UC3RnVukAOZIjZ8U4X28IXKw|15|6|T
Dirty Heads|Dirty Heads|https://www.youtube.com/channel/UCBVvc3tPGFM6KPKKnJfPTfA|15|7|M
martin venator|martin venator|https://www.youtube.com/channel/UCc-KnuOnUGQYsXBuXkT5Prw|15|3|M
JATVMedia|JATVMedia|https://www.youtube.com/channel/UCiLOPcFtMO1jAiFdoKv5mZA|15|4|unsure
fixtSE|fixtSE|https://www.youtube.com/channel/UCOY6oNxodGWbFg6CjXtae5g|14|6|T
theMITmonk|theMITmonk|https://www.youtube.com/channel/UC4ZVkG3RQPzvZk7alIVjcCg|14|7|T
Greg Macaree|Greg Macaree|https://www.youtube.com/channel/UCGZa4aziJCszIcmDumlbFRw|14|7|M
King Homemade|King Homemade|https://www.youtube.com/channel/UCk2Oi0gykpdWgOMORu3TCjA|14|7|F
BOOMY Tech|BOOMY Tech|https://www.youtube.com/channel/UCtIChB5-elldV1vYqw1frLw|14|4|T
LALAS DMR|LALAS DMR|https://www.youtube.com/channel/UCehHGylyy590rd2Utch5O0Q|14|1|M
FanPage (NOT THE REAL REN)|FanPage (NOT THE REAL REN) |https://www.youtube.com/channel/UC8nuxKpyF9RVqXi0u5AwRBw|14|12|M
AnnenMayKantereit|AnnenMayKantereit|https://www.youtube.com/channel/UCheky_SBEExtbK_T0onuDwg|14|2|M
SkippedProductions|SkippedProductions|https://www.youtube.com/channel/UCnpE301wC1N1utqqdUEP5hQ|14|3|M
TFIL (Traveling to EVERY COUNTRY in A-Z Order)|TFIL (Traveling to EVERY COUNTRY in A-Z Order)|https://www.youtube.com/channel/UCXqXeWMN4HiWAiclD_3I8mQ|14|12|O
Andrew Huberman|Andrew Huberman|https://www.youtube.com/channel/UC2D2CMWXMOVWx7giW1n3LIg|14|13|O
Brighter with Herbert|Brighter with Herbert|https://www.youtube.com/channel/UC4DBLlq1x0AKmip1QJUcbXg|13|7|unsure
Banned Vinyl Collection|Banned Vinyl Collection|https://www.youtube.com/channel/UC12pzVnL77E9CUHreiRWdEg|13|7|M
Smarty Van|Smarty Van|https://www.youtube.com/channel/UCtDZoJa423TcB1ri-ZjDoqA|13|4|T
How To Home|How To Home|https://www.youtube.com/channel/UCpb-xu6Oun_d41RjztUgFWA|13|7|T
M.T.V.|M.T.V.|https://www.youtube.com/channel/UCj_zshVh2vwxwgDX_SWU7yg|13|3|M
Die Antwoord|Die Antwoord|https://www.youtube.com/channel/UC6DicDItkLQ7N4ag1JS5mqg|13|3|M
matt one|matt one|https://www.youtube.com/channel/UCSMtURhqQz7yjmW78v3WJMQ|13|1|unsure
Framed Screensavers|Framed Screensavers|https://www.youtube.com/channel/UCRYYPjBnvSdOcoufYlwYXcw|13|11|O
Waveshare Electronics|Waveshare Electronics|https://www.youtube.com/channel/UCV_48_r0rplaYB-VqxXB04g|12|6|T
David Bombal|David Bombal|https://www.youtube.com/channel/UCP7WmQ_U4GB3K51Od9QvM0w|12|5|unsure
Salim Benbouziyane|Salim Benbouziyane|https://www.youtube.com/channel/UC2eBMUTYqZSLrRJ1EBwJv-A|12|4|unsure
